2026-05-28 19:51:04 | ERROR    | file-server     | HTTP 500 error rate at 37% over last 10 minutes
2026-05-28 19:51:04 | CRITICAL | file-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:04 | INFO     | web-server-01   | Service health check passed - all systems normal
2026-05-28 19:51:04 | INFO     | db-server-01    | Service health check passed - all systems normal
2026-05-28 19:51:04 | WARNING  | api-gateway     | Failed login attempt for user admin from 116.122.157.113
2026-05-28 19:51:04 | CRITICAL | api-gateway     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:04 | WARNING  | web-server-01   | Failed login attempt for user admin from 164.153.5.195
2026-05-28 19:51:04 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:04 | CRITICAL | file-server     | Disk usage at 75% - write failures imminent
2026-05-28 19:51:04 | CRITICAL | auth-server     | Multiple failed logins detected from 202.128.180.147 - possible brute force
2026-05-28 19:51:04 | WARNING  | auth-server     | Memory usage at 81% - monitor closely
2026-05-28 19:51:04 | WARNING  | api-gateway     | Failed login attempt for user admin from 201.40.211.120
2026-05-28 19:51:04 | ERROR    | auth-server     | HTTP 500 error rate at 45% over last 10 minutes
2026-05-28 19:51:04 | CRITICAL | web-server-01   | CPU usage at 90% - threshold exceeded for 5+ minutes
2026-05-28 19:51:04 | CRITICAL | file-server     | Multiple failed logins detected from 196.226.240.202 - possible brute force
2026-05-28 19:51:04 | WARNING  | db-server-01    | CPU usage at 95% - approaching threshold
2026-05-28 19:51:04 | WARNING  | db-server-01    | Disk usage at 80% on /var/log partition
2026-05-28 19:51:04 | WARNING  | file-server     | Memory usage at 79% - monitor closely
2026-05-28 19:51:04 | CRITICAL | auth-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:04 | CRITICAL | web-server-01   | Memory usage at 85% - possible memory leak detected
2026-05-28 19:51:04 | CRITICAL | auth-server     | Memory usage at 82% - possible memory leak detected
2026-05-28 19:51:04 | WARNING  | api-gateway     | Service restarted 9 times in the last hour
2026-05-28 19:51:04 | WARNING  | web-server-01   | Failed login attempt for user root from 40.52.67.213
2026-05-28 19:51:04 | CRITICAL | file-server     | Unauthorized access attempt on restricted endpoint from 209.204.86.167
2026-05-28 19:51:04 | CRITICAL | file-server     | Disk usage at 88% - write failures imminent
2026-05-28 19:51:04 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:04 | CRITICAL | file-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:04 | WARNING  | auth-server     | Failed login attempt for user root from 124.147.120.243
2026-05-28 19:51:04 | WARNING  | api-gateway     | Failed login attempt for user admin from 101.50.253.234
2026-05-28 19:51:04 | CRITICAL | auth-server     | Unauthorized access attempt on restricted endpoint from 161.13.145.63
2026-05-28 19:51:04 | ERROR    | auth-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:04 | CRITICAL | db-server-01    | CPU usage at 76% - threshold exceeded for 5+ minutes
2026-05-28 19:51:04 | INFO     | auth-server     | Service health check passed - all systems normal
2026-05-28 19:51:04 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:04 | WARNING  | web-server-01   | Service restarted 4 times in the last hour
2026-05-28 19:51:04 | WARNING  | db-server-01    | Login attempt outside business hours by user adavis
2026-05-28 19:51:04 | CRITICAL | api-gateway     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:04 | CRITICAL | web-server-01   | Unauthorized access attempt on restricted endpoint from 97.35.22.189
2026-05-28 19:51:04 | CRITICAL | file-server     | Memory usage at 94% - possible memory leak detected
2026-05-28 19:51:04 | INFO     | db-server-01    | Service health check passed - all systems normal
2026-05-28 19:51:04 | INFO     | file-server     | Service health check passed - all systems normal
2026-05-28 19:51:04 | CRITICAL | api-gateway     | CPU usage at 85% - threshold exceeded for 5+ minutes
2026-05-28 19:51:04 | CRITICAL | auth-server     | Multiple failed logins detected from 135.219.115.217 - possible brute force
