2026-05-28 19:51:24 | WARNING  | web-server-01   | Disk usage at 78% on /var/log partition
2026-05-28 19:51:24 | WARNING  | db-server-01    | Service restarted 4 times in the last hour
2026-05-28 19:51:24 | WARNING  | web-server-01   | Disk usage at 90% on /var/log partition
2026-05-28 19:51:24 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:24 | CRITICAL | api-gateway     | CPU usage at 97% - threshold exceeded for 5+ minutes
2026-05-28 19:51:24 | WARNING  | api-gateway     | CPU usage at 82% - approaching threshold
2026-05-28 19:51:24 | WARNING  | auth-server     | Disk usage at 89% on /var/log partition
2026-05-28 19:51:24 | ERROR    | db-server-01    | HTTP 500 error rate at 39% over last 10 minutes
2026-05-28 19:51:24 | WARNING  | file-server     | Memory usage at 91% - monitor closely
2026-05-28 19:51:24 | WARNING  | db-server-01    | CPU usage at 89% - approaching threshold
2026-05-28 19:51:24 | ERROR    | api-gateway     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:24 | CRITICAL | file-server     | CPU usage at 94% - threshold exceeded for 5+ minutes
2026-05-28 19:51:24 | CRITICAL | api-gateway     | Unauthorized access attempt on restricted endpoint from 195.227.209.103
2026-05-28 19:51:24 | WARNING  | api-gateway     | Disk usage at 78% on /var/log partition
2026-05-28 19:51:24 | WARNING  | db-server-01    | Memory usage at 83% - monitor closely
2026-05-28 19:51:24 | WARNING  | auth-server     | Memory usage at 90% - monitor closely
2026-05-28 19:51:24 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:24 | WARNING  | web-server-01   | Disk usage at 85% on /var/log partition
2026-05-28 19:51:24 | WARNING  | web-server-01   | Failed login attempt for user root from 96.5.254.98
2026-05-28 19:51:24 | CRITICAL | db-server-01    | Multiple failed logins detected from 44.219.150.194 - possible brute force
2026-05-28 19:51:24 | INFO     | web-server-01   | Service health check passed - all systems normal
2026-05-28 19:51:24 | INFO     | auth-server     | Service health check passed - all systems normal
2026-05-28 19:51:24 | INFO     | web-server-01   | Service health check passed - all systems normal
2026-05-28 19:51:24 | INFO     | web-server-01   | Successful login by user unknown_user from 30.11.245.116
2026-05-28 19:51:24 | INFO     | file-server     | Successful login by user unknown_user from 28.38.233.124
2026-05-28 19:51:24 | INFO     | file-server     | Service health check passed - all systems normal
2026-05-28 19:51:24 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:24 | WARNING  | web-server-01   | Service restarted 10 times in the last hour
2026-05-28 19:51:24 | WARNING  | web-server-01   | Failed login attempt for user root from 12.108.131.180
2026-05-28 19:51:24 | WARNING  | auth-server     | CPU usage at 84% - approaching threshold
2026-05-28 19:51:24 | WARNING  | web-server-01   | Login attempt outside business hours by user adavis
2026-05-28 19:51:24 | CRITICAL | file-server     | CPU usage at 81% - threshold exceeded for 5+ minutes
2026-05-28 19:51:24 | CRITICAL | web-server-01   | Unauthorized access attempt on restricted endpoint from 64.98.105.61
