2026-05-28 19:51:34 | WARNING  | db-server-01    | Disk usage at 83% on /var/log partition
2026-05-28 19:51:34 | ERROR    | web-server-01   | HTTP 500 error rate at 47% over last 10 minutes
2026-05-28 19:51:34 | INFO     | api-gateway     | Successful login by user jsmith from 19.185.38.57
2026-05-28 19:51:34 | WARNING  | file-server     | Memory usage at 99% - monitor closely
2026-05-28 19:51:34 | WARNING  | auth-server     | Failed login attempt for user admin from 156.140.6.210
2026-05-28 19:51:34 | WARNING  | web-server-01   | Failed login attempt for user root from 147.169.236.245
2026-05-28 19:51:34 | WARNING  | auth-server     | Failed login attempt for user admin from 66.231.156.98
2026-05-28 19:51:34 | INFO     | web-server-01   | Successful login by user unknown_user from 85.109.167.68
2026-05-28 19:51:34 | CRITICAL | web-server-01   | Database connection pool exhausted - all requests failing
2026-05-28 19:51:34 | WARNING  | api-gateway     | Failed login attempt for user root from 90.52.41.86
2026-05-28 19:51:34 | CRITICAL | web-server-01   | Disk usage at 85% - write failures imminent
2026-05-28 19:51:34 | WARNING  | db-server-01    | Failed login attempt for user admin from 186.106.20.134
2026-05-28 19:51:34 | WARNING  | web-server-01   | Failed login attempt for user admin from 173.239.143.157
2026-05-28 19:51:34 | INFO     | file-server     | Service health check passed - all systems normal
2026-05-28 19:51:34 | WARNING  | api-gateway     | CPU usage at 80% - approaching threshold
2026-05-28 19:51:34 | CRITICAL | auth-server     | Multiple failed logins detected from 142.35.221.94 - possible brute force
2026-05-28 19:51:34 | ERROR    | web-server-01   | HTTP 500 error rate at 27% over last 10 minutes
2026-05-28 19:51:34 | CRITICAL | auth-server     | Multiple failed logins detected from 131.155.207.19 - possible brute force
2026-05-28 19:51:34 | WARNING  | auth-server     | Failed login attempt for user admin from 197.111.168.157
2026-05-28 19:51:34 | CRITICAL | db-server-01    | Unauthorized access attempt on restricted endpoint from 154.36.36.222
2026-05-28 19:51:34 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:34 | CRITICAL | api-gateway     | Unauthorized access attempt on restricted endpoint from 67.215.74.71
2026-05-28 19:51:34 | CRITICAL | api-gateway     | Unauthorized access attempt on restricted endpoint from 41.138.220.133
2026-05-28 19:51:34 | CRITICAL | file-server     | Disk usage at 81% - write failures imminent
2026-05-28 19:51:34 | CRITICAL | auth-server     | Memory usage at 76% - possible memory leak detected
2026-05-28 19:51:34 | WARNING  | file-server     | Disk usage at 97% on /var/log partition
2026-05-28 19:51:34 | CRITICAL | api-gateway     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:34 | INFO     | auth-server     | Service health check passed - all systems normal
2026-05-28 19:51:34 | WARNING  | auth-server     | Memory usage at 88% - monitor closely
2026-05-28 19:51:34 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:34 | INFO     | web-server-01   | Successful login by user unknown_user from 74.0.105.134
2026-05-28 19:51:34 | WARNING  | web-server-01   | Service restarted 7 times in the last hour
2026-05-28 19:51:34 | WARNING  | api-gateway     | Service restarted 8 times in the last hour
2026-05-28 19:51:34 | CRITICAL | auth-server     | CPU usage at 89% - threshold exceeded for 5+ minutes
2026-05-28 19:51:34 | WARNING  | db-server-01    | Login attempt outside business hours by user rthomas
2026-05-28 19:51:34 | CRITICAL | db-server-01    | Unauthorized access attempt on restricted endpoint from 77.224.89.88
2026-05-28 19:51:34 | CRITICAL | file-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:34 | INFO     | auth-server     | Service health check passed - all systems normal
2026-05-28 19:51:34 | ERROR    | api-gateway     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:34 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:34 | ERROR    | web-server-01   | HTTP 500 error rate at 45% over last 10 minutes
2026-05-28 19:51:34 | CRITICAL | auth-server     | Disk usage at 93% - write failures imminent
2026-05-28 19:51:34 | WARNING  | db-server-01    | Failed login attempt for user admin from 86.162.141.150
2026-05-28 19:51:34 | ERROR    | web-server-01   | HTTP 500 error rate at 34% over last 10 minutes
2026-05-28 19:51:34 | INFO     | file-server     | Successful login by user mlopez from 167.114.91.240
2026-05-28 19:51:34 | CRITICAL | db-server-01    | CPU usage at 82% - threshold exceeded for 5+ minutes
2026-05-28 19:51:34 | WARNING  | api-gateway     | CPU usage at 76% - approaching threshold
