2026-05-28 19:51:44 | WARNING  | file-server     | Disk usage at 93% on /var/log partition
2026-05-28 19:51:44 | CRITICAL | auth-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:44 | CRITICAL | api-gateway     | Disk usage at 90% - write failures imminent
2026-05-28 19:51:44 | WARNING  | db-server-01    | Service restarted 6 times in the last hour
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Disk usage at 94% - write failures imminent
2026-05-28 19:51:44 | WARNING  | db-server-01    | Failed login attempt for user root from 49.218.206.72
2026-05-28 19:51:44 | CRITICAL | web-server-01   | Database connection pool exhausted - all requests failing
2026-05-28 19:51:44 | WARNING  | api-gateway     | Login attempt outside business hours by user jsmith
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Unauthorized access attempt on restricted endpoint from 66.165.122.26
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:51:44 | WARNING  | web-server-01   | CPU usage at 83% - approaching threshold
2026-05-28 19:51:44 | WARNING  | file-server     | Login attempt outside business hours by user unknown_user
2026-05-28 19:51:44 | WARNING  | file-server     | Memory usage at 86% - monitor closely
2026-05-28 19:51:44 | CRITICAL | web-server-01   | Unauthorized access attempt on restricted endpoint from 121.172.1.123
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Multiple failed logins detected from 74.86.179.229 - possible brute force
2026-05-28 19:51:44 | WARNING  | file-server     | Failed login attempt for user admin from 157.20.141.156
2026-05-28 19:51:44 | WARNING  | web-server-01   | Memory usage at 82% - monitor closely
2026-05-28 19:51:44 | CRITICAL | api-gateway     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:44 | WARNING  | file-server     | Memory usage at 93% - monitor closely
2026-05-28 19:51:44 | CRITICAL | file-server     | CPU usage at 86% - threshold exceeded for 5+ minutes
2026-05-28 19:51:44 | WARNING  | file-server     | Login attempt outside business hours by user jsmith
2026-05-28 19:51:44 | CRITICAL | file-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:44 | CRITICAL | db-server-01    | CPU usage at 82% - threshold exceeded for 5+ minutes
2026-05-28 19:51:44 | CRITICAL | api-gateway     | Multiple failed logins detected from 128.17.131.143 - possible brute force
2026-05-28 19:51:44 | WARNING  | file-server     | Failed login attempt for user root from 94.211.214.116
2026-05-28 19:51:44 | WARNING  | web-server-01   | Memory usage at 75% - monitor closely
2026-05-28 19:51:44 | CRITICAL | web-server-01   | Unauthorized access attempt on restricted endpoint from 15.196.7.71
2026-05-28 19:51:44 | WARNING  | auth-server     | CPU usage at 99% - approaching threshold
2026-05-28 19:51:44 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Memory usage at 95% - possible memory leak detected
2026-05-28 19:51:44 | WARNING  | web-server-01   | Failed login attempt for user admin from 103.34.208.128
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Memory usage at 81% - possible memory leak detected
2026-05-28 19:51:44 | ERROR    | api-gateway     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:44 | WARNING  | db-server-01    | CPU usage at 86% - approaching threshold
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Memory usage at 92% - possible memory leak detected
2026-05-28 19:51:44 | INFO     | api-gateway     | Service health check passed - all systems normal
2026-05-28 19:51:44 | WARNING  | db-server-01    | Failed login attempt for user admin from 116.155.159.61
2026-05-28 19:51:44 | ERROR    | auth-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:44 | CRITICAL | api-gateway     | Memory usage at 95% - possible memory leak detected
2026-05-28 19:51:44 | CRITICAL | db-server-01    | Unauthorized access attempt on restricted endpoint from 90.115.110.213
2026-05-28 19:51:44 | WARNING  | db-server-01    | Service restarted 2 times in the last hour
2026-05-28 19:51:44 | CRITICAL | web-server-01   | CPU usage at 96% - threshold exceeded for 5+ minutes
2026-05-28 19:51:44 | WARNING  | auth-server     | CPU usage at 77% - approaching threshold
2026-05-28 19:51:44 | CRITICAL | file-server     | Memory usage at 97% - possible memory leak detected
2026-05-28 19:51:44 | INFO     | api-gateway     | Successful login by user jsmith from 118.201.224.137
2026-05-28 19:51:44 | CRITICAL | auth-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:44 | ERROR    | api-gateway     | HTTP 500 error rate at 45% over last 10 minutes
2026-05-28 19:51:44 | WARNING  | api-gateway     | Login attempt outside business hours by user adavis
2026-05-28 19:51:44 | CRITICAL | api-gateway     | Memory usage at 81% - possible memory leak detected
2026-05-28 19:51:44 | CRITICAL | web-server-01   | CPU usage at 85% - threshold exceeded for 5+ minutes
2026-05-28 19:51:44 | WARNING  | api-gateway     | Failed login attempt for user root from 167.5.14.66
2026-05-28 19:51:44 | WARNING  | web-server-01   | Service restarted 8 times in the last hour
2026-05-28 19:51:44 | CRITICAL | api-gateway     | CPU usage at 92% - threshold exceeded for 5+ minutes
2026-05-28 19:51:44 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:44 | CRITICAL | auth-server     | Multiple failed logins detected from 90.221.160.17 - possible brute force
2026-05-28 19:51:44 | CRITICAL | web-server-01   | CPU usage at 77% - threshold exceeded for 5+ minutes
2026-05-28 19:51:44 | WARNING  | auth-server     | Failed login attempt for user admin from 153.199.28.204
2026-05-28 19:51:44 | WARNING  | auth-server     | Failed login attempt for user admin from 185.231.32.16
