2026-05-28 19:51:54 | WARNING  | file-server     | Failed login attempt for user admin from 32.181.146.218
2026-05-28 19:51:54 | INFO     | file-server     | Successful login by user rthomas from 18.103.67.9
2026-05-28 19:51:54 | WARNING  | web-server-01   | CPU usage at 80% - approaching threshold
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user root from 111.104.240.73
2026-05-28 19:51:54 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | WARNING  | file-server     | Memory usage at 85% - monitor closely
2026-05-28 19:51:54 | CRITICAL | file-server     | Unauthorized access attempt on restricted endpoint from 93.73.47.155
2026-05-28 19:51:54 | CRITICAL | db-server-01    | Multiple failed logins detected from 23.224.41.136 - possible brute force
2026-05-28 19:51:54 | WARNING  | file-server     | Service restarted 3 times in the last hour
2026-05-28 19:51:54 | CRITICAL | web-server-01   | Database connection pool exhausted - all requests failing
2026-05-28 19:51:54 | CRITICAL | auth-server     | Memory usage at 98% - possible memory leak detected
2026-05-28 19:51:54 | CRITICAL | auth-server     | Memory usage at 83% - possible memory leak detected
2026-05-28 19:51:54 | CRITICAL | db-server-01    | Unauthorized access attempt on restricted endpoint from 127.228.38.92
2026-05-28 19:51:54 | WARNING  | file-server     | Memory usage at 99% - monitor closely
2026-05-28 19:51:54 | WARNING  | web-server-01   | Failed login attempt for user admin from 49.182.207.45
2026-05-28 19:51:54 | WARNING  | auth-server     | Disk usage at 88% on /var/log partition
2026-05-28 19:51:54 | WARNING  | auth-server     | Memory usage at 97% - monitor closely
2026-05-28 19:51:54 | CRITICAL | web-server-01   | CPU usage at 84% - threshold exceeded for 5+ minutes
2026-05-28 19:51:54 | WARNING  | api-gateway     | Failed login attempt for user admin from 182.99.176.53
2026-05-28 19:51:54 | CRITICAL | file-server     | Memory usage at 87% - possible memory leak detected
2026-05-28 19:51:54 | CRITICAL | api-gateway     | Memory usage at 95% - possible memory leak detected
2026-05-28 19:51:54 | ERROR    | auth-server     | HTTP 500 error rate at 54% over last 10 minutes
2026-05-28 19:51:54 | WARNING  | auth-server     | CPU usage at 95% - approaching threshold
2026-05-28 19:51:54 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | WARNING  | api-gateway     | Failed login attempt for user admin from 135.211.53.197
2026-05-28 19:51:54 | CRITICAL | auth-server     | Disk usage at 87% - write failures imminent
2026-05-28 19:51:54 | CRITICAL | api-gateway     | Disk usage at 83% - write failures imminent
2026-05-28 19:51:54 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | CRITICAL | api-gateway     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:54 | WARNING  | api-gateway     | Memory usage at 98% - monitor closely
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user admin from 199.51.175.234
2026-05-28 19:51:54 | CRITICAL | file-server     | Disk usage at 80% - write failures imminent
2026-05-28 19:51:54 | INFO     | file-server     | Successful login by user unknown_user from 64.65.239.91
2026-05-28 19:51:54 | WARNING  | auth-server     | Memory usage at 99% - monitor closely
2026-05-28 19:51:54 | WARNING  | web-server-01   | Service restarted 7 times in the last hour
2026-05-28 19:51:54 | CRITICAL | file-server     | Multiple failed logins detected from 148.179.157.31 - possible brute force
2026-05-28 19:51:54 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | CRITICAL | file-server     | Unauthorized access attempt on restricted endpoint from 178.58.4.139
2026-05-28 19:51:54 | WARNING  | auth-server     | Disk usage at 83% on /var/log partition
