2026-05-28 19:52:04 | INFO     | web-server-01   | Service health check passed - all systems normal
2026-05-28 19:52:04 | WARNING  | file-server     | Login attempt outside business hours by user unknown_user
2026-05-28 19:52:04 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:04 | WARNING  | auth-server     | Failed login attempt for user admin from 43.248.208.56
2026-05-28 19:52:04 | WARNING  | file-server     | Failed login attempt for user admin from 173.237.41.167
2026-05-28 19:52:04 | INFO     | api-gateway     | Successful login by user mlopez from 134.185.56.80
2026-05-28 19:52:04 | ERROR    | db-server-01    | HTTP 500 error rate at 17% over last 10 minutes
2026-05-28 19:52:04 | ERROR    | db-server-01    | HTTP 500 error rate at 15% over last 10 minutes
2026-05-28 19:52:04 | ERROR    | web-server-01   | HTTP 500 error rate at 54% over last 10 minutes
2026-05-28 19:52:04 | WARNING  | file-server     | Memory usage at 81% - monitor closely
2026-05-28 19:52:04 | CRITICAL | auth-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:52:04 | WARNING  | web-server-01   | Memory usage at 90% - monitor closely
2026-05-28 19:52:04 | CRITICAL | auth-server     | Multiple failed logins detected from 195.180.119.231 - possible brute force
2026-05-28 19:52:04 | CRITICAL | auth-server     | Multiple failed logins detected from 163.177.103.48 - possible brute force
2026-05-28 19:52:04 | ERROR    | db-server-01    | HTTP 500 error rate at 21% over last 10 minutes
2026-05-28 19:52:04 | WARNING  | api-gateway     | Failed login attempt for user root from 177.111.60.252
2026-05-28 19:52:04 | INFO     | auth-server     | Successful login by user jsmith from 91.78.3.49
2026-05-28 19:52:04 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:04 | WARNING  | file-server     | CPU usage at 75% - approaching threshold
2026-05-28 19:52:04 | ERROR    | db-server-01    | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:04 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:04 | CRITICAL | file-server     | CPU usage at 89% - threshold exceeded for 5+ minutes
2026-05-28 19:52:04 | CRITICAL | web-server-01   | CPU usage at 92% - threshold exceeded for 5+ minutes
2026-05-28 19:52:04 | WARNING  | auth-server     | Login attempt outside business hours by user unknown_user
2026-05-28 19:52:04 | ERROR    | file-server     | HTTP 500 error rate at 11% over last 10 minutes
2026-05-28 19:52:04 | CRITICAL | auth-server     | Multiple failed logins detected from 206.90.226.71 - possible brute force
