2026-05-28 19:52:24 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:24 | CRITICAL | auth-server     | CPU usage at 87% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | WARNING  | db-server-01    | Disk usage at 75% on /var/log partition
2026-05-28 19:52:24 | ERROR    | db-server-01    | HTTP 500 error rate at 22% over last 10 minutes
2026-05-28 19:52:24 | CRITICAL | file-server     | CPU usage at 77% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | WARNING  | api-gateway     | Failed login attempt for user root from 171.248.64.54
2026-05-28 19:52:24 | WARNING  | web-server-01   | Login attempt outside business hours by user jsmith
2026-05-28 19:52:24 | CRITICAL | web-server-01   | Disk usage at 84% - write failures imminent
2026-05-28 19:52:24 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:52:24 | CRITICAL | api-gateway     | CPU usage at 99% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | WARNING  | file-server     | Memory usage at 96% - monitor closely
2026-05-28 19:52:24 | WARNING  | auth-server     | Memory usage at 89% - monitor closely
2026-05-28 19:52:24 | INFO     | api-gateway     | Service health check passed - all systems normal
2026-05-28 19:52:24 | WARNING  | db-server-01    | Service restarted 10 times in the last hour
2026-05-28 19:52:24 | WARNING  | web-server-01   | Disk usage at 79% on /var/log partition
2026-05-28 19:52:24 | CRITICAL | db-server-01    | Disk usage at 82% - write failures imminent
2026-05-28 19:52:24 | CRITICAL | api-gateway     | CPU usage at 85% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | WARNING  | db-server-01    | Login attempt outside business hours by user unknown_user
2026-05-28 19:52:24 | CRITICAL | web-server-01   | Unauthorized access attempt on restricted endpoint from 190.24.48.201
2026-05-28 19:52:24 | WARNING  | file-server     | CPU usage at 80% - approaching threshold
2026-05-28 19:52:24 | WARNING  | auth-server     | Failed login attempt for user root from 95.185.200.135
2026-05-28 19:52:24 | WARNING  | auth-server     | Failed login attempt for user root from 44.199.208.250
2026-05-28 19:52:24 | CRITICAL | file-server     | Disk usage at 79% - write failures imminent
2026-05-28 19:52:24 | WARNING  | file-server     | Failed login attempt for user root from 164.77.86.239
2026-05-28 19:52:24 | CRITICAL | file-server     | Disk usage at 82% - write failures imminent
2026-05-28 19:52:24 | CRITICAL | file-server     | CPU usage at 79% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | ERROR    | web-server-01   | HTTP 500 error rate at 22% over last 10 minutes
2026-05-28 19:52:24 | ERROR    | auth-server     | HTTP 500 error rate at 25% over last 10 minutes
2026-05-28 19:52:24 | WARNING  | web-server-01   | Memory usage at 77% - monitor closely
2026-05-28 19:52:24 | WARNING  | api-gateway     | CPU usage at 87% - approaching threshold
2026-05-28 19:52:24 | CRITICAL | auth-server     | CPU usage at 97% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | ERROR    | db-server-01    | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:24 | INFO     | api-gateway     | Service health check passed - all systems normal
2026-05-28 19:52:24 | ERROR    | db-server-01    | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:24 | CRITICAL | auth-server     | Memory usage at 91% - possible memory leak detected
2026-05-28 19:52:24 | WARNING  | db-server-01    | Disk usage at 85% on /var/log partition
2026-05-28 19:52:24 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:24 | WARNING  | db-server-01    | Service restarted 6 times in the last hour
2026-05-28 19:52:24 | CRITICAL | db-server-01    | Unauthorized access attempt on restricted endpoint from 167.99.13.48
2026-05-28 19:52:24 | CRITICAL | api-gateway     | Multiple failed logins detected from 160.29.141.95 - possible brute force
2026-05-28 19:52:24 | CRITICAL | auth-server     | Disk usage at 78% - write failures imminent
2026-05-28 19:52:24 | CRITICAL | db-server-01    | CPU usage at 78% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | CRITICAL | file-server     | Disk usage at 93% - write failures imminent
2026-05-28 19:52:24 | WARNING  | file-server     | CPU usage at 94% - approaching threshold
2026-05-28 19:52:24 | ERROR    | web-server-01   | HTTP 500 error rate at 11% over last 10 minutes
2026-05-28 19:52:24 | INFO     | file-server     | Successful login by user adavis from 43.216.1.52
2026-05-28 19:52:24 | CRITICAL | auth-server     | CPU usage at 99% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | ERROR    | db-server-01    | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:24 | CRITICAL | api-gateway     | Multiple failed logins detected from 103.220.21.240 - possible brute force
2026-05-28 19:52:24 | ERROR    | db-server-01    | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:24 | ERROR    | db-server-01    | HTTP 500 error rate at 12% over last 10 minutes
2026-05-28 19:52:24 | CRITICAL | auth-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:52:24 | WARNING  | api-gateway     | Failed login attempt for user root from 15.233.237.168
2026-05-28 19:52:24 | CRITICAL | file-server     | CPU usage at 80% - threshold exceeded for 5+ minutes
2026-05-28 19:52:24 | WARNING  | web-server-01   | Login attempt outside business hours by user unknown_user
2026-05-28 19:52:24 | WARNING  | auth-server     | Login attempt outside business hours by user rthomas
2026-05-28 19:52:24 | WARNING  | file-server     | Memory usage at 98% - monitor closely
2026-05-28 19:52:24 | CRITICAL | auth-server     | Multiple failed logins detected from 34.8.155.43 - possible brute force
2026-05-28 19:52:24 | INFO     | api-gateway     | Service health check passed - all systems normal
2026-05-28 19:52:24 | ERROR    | db-server-01    | HTTP 500 error rate at 59% over last 10 minutes
2026-05-28 19:52:24 | CRITICAL | db-server-01    | Memory usage at 96% - possible memory leak detected
2026-05-28 19:52:24 | CRITICAL | db-server-01    | Multiple failed logins detected from 162.20.63.157 - possible brute force
2026-05-28 19:52:24 | CRITICAL | web-server-01   | Disk usage at 96% - write failures imminent
2026-05-28 19:52:24 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:24 | WARNING  | web-server-01   | Login attempt outside business hours by user jsmith
2026-05-28 19:52:24 | ERROR    | web-server-01   | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:24 | INFO     | api-gateway     | Successful login by user jsmith from 121.238.144.229
2026-05-28 19:52:24 | CRITICAL | web-server-01   | Disk usage at 88% - write failures imminent
2026-05-28 19:52:24 | WARNING  | db-server-01    | Disk usage at 94% on /var/log partition
2026-05-28 19:52:24 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:52:24 | CRITICAL | web-server-01   | Unauthorized access attempt on restricted endpoint from 32.205.215.138
2026-05-28 19:52:24 | ERROR    | auth-server     | HTTP 500 error rate at 52% over last 10 minutes
2026-05-28 19:52:24 | WARNING  | auth-server     | Memory usage at 95% - monitor closely
2026-05-28 19:52:24 | WARNING  | web-server-01   | Failed login attempt for user admin from 123.0.31.153
2026-05-28 19:52:24 | WARNING  | db-server-01    | Service restarted 2 times in the last hour
2026-05-28 19:52:24 | WARNING  | file-server     | Memory usage at 92% - monitor closely
2026-05-28 19:52:24 | WARNING  | auth-server     | Service restarted 3 times in the last hour
2026-05-28 19:52:24 | WARNING  | api-gateway     | Disk usage at 80% on /var/log partition
2026-05-28 19:52:24 | WARNING  | file-server     | Failed login attempt for user admin from 160.183.95.38
