2026-05-28 19:52:44 | WARNING  | file-server     | CPU usage at 93% - approaching threshold
2026-05-28 19:52:44 | WARNING  | web-server-01   | Service restarted 9 times in the last hour
2026-05-28 19:52:44 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:44 | WARNING  | web-server-01   | Disk usage at 89% on /var/log partition
2026-05-28 19:52:44 | ERROR    | web-server-01   | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:44 | INFO     | web-server-01   | Service health check passed - all systems normal
2026-05-28 19:52:44 | WARNING  | auth-server     | Service restarted 7 times in the last hour
2026-05-28 19:52:44 | WARNING  | file-server     | Failed login attempt for user admin from 96.193.155.110
2026-05-28 19:52:44 | CRITICAL | auth-server     | Disk usage at 96% - write failures imminent
2026-05-28 19:52:44 | WARNING  | db-server-01    | Memory usage at 93% - monitor closely
2026-05-28 19:52:44 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:44 | CRITICAL | auth-server     | Disk usage at 90% - write failures imminent
2026-05-28 19:52:44 | ERROR    | db-server-01    | HTTP 500 error rate at 42% over last 10 minutes
2026-05-28 19:52:44 | WARNING  | web-server-01   | CPU usage at 99% - approaching threshold
2026-05-28 19:52:44 | INFO     | file-server     | Successful login by user rthomas from 221.204.176.136
2026-05-28 19:52:44 | CRITICAL | file-server     | Multiple failed logins detected from 178.35.25.63 - possible brute force
2026-05-28 19:52:44 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:44 | CRITICAL | auth-server     | Disk usage at 88% - write failures imminent
2026-05-28 19:52:44 | WARNING  | db-server-01    | Login attempt outside business hours by user adavis
2026-05-28 19:52:44 | CRITICAL | api-gateway     | CPU usage at 77% - threshold exceeded for 5+ minutes
2026-05-28 19:52:44 | WARNING  | auth-server     | Failed login attempt for user root from 79.132.229.173
2026-05-28 19:52:44 | CRITICAL | web-server-01   | CPU usage at 87% - threshold exceeded for 5+ minutes
2026-05-28 19:52:44 | CRITICAL | db-server-01    | CPU usage at 92% - threshold exceeded for 5+ minutes
2026-05-28 19:52:44 | ERROR    | db-server-01    | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:44 | WARNING  | web-server-01   | Disk usage at 94% on /var/log partition
2026-05-28 19:52:44 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
